number,chapter,categories,strong_terms,weak_terms_in_verse,commentary_only_terms,n_categories,tamil,translation,explanation,commentary_mv,commentary_mk,label,science_concept,notes
559,56,sky_stars|rain_water|time_season,"sky_stars:வானம்*,sky,heaven ; rain_water:rain,clouds? ; time_season:season",,"sky_stars:வான் ; rain_water:மழை,மேகம்",3,முறைகோடி மன்னவன் செய்யின் உறைகோடி / ஒல்லாது வானம் பெயல்.,The sky withdraws season's shower If the king misuses his power,"If the king acts contrary to justice, rain will become unseasonable, and the heavens will withhold their showers","அரசன் முறை தவறி நாட்டை ஆட்சி செய்வானானால், அந்த நாட்டில் பருவமழை தவறி மேகம் மழை பெய்யாமல் போகும்.","முறை தவறிச் செயல்படும் ஆட்சியில் நீரைத்தேக்கிப் பயனளிக்கும் இடங்கள் பாழ்பட்டுப் போகுமாதலால், வான் வழங்கும் மழையைத் தேக்கி வைத்து வளம் பெறவும் இயலாது",,,
564,57,cosmos_origin,cosmos_origin:இறை*,,time_season:காலம்,1,இறைகடியன் என்றுரைக்கும் இன்னாச்சொல் வேந்தன் / உறைகடுகி ஒல்லைக் கெடும்.,"As men the king a tyrant call His days dwindled, hasten his fall",The king who is spoken of as cruel will quickly perish; his life becoming shortened,"நம் அரசன் கடுமையானவன் என்று குடிகளால் கூறப்படும் கொடுஞ்சொல்லை உடைய அரசன், தன் ஆயுள் குறைந்து விரைவில் கெடுவான்.","கடுஞ்சொல் உரைக்கும் கொடுங்கோல் என்று குடிமக்களால் கருதப்படும் அரசு, தனது பெருமையை விரைவில் இழக்கும்",,,
570,57,direction_earth,direction_earth:earth,,,1,கல்லார்ப் பிணிக்கும் கடுங்கோல் அதுவல்லது / இல்லை நிலக்குப் பொறை.,The crushing burden borne by earth Is tyrants bound to fools uncouth,The earth bears up no greater burden than ignorant men whom a cruel sceptre attaches to itself (as the ministers of its evil deeds),"கடுங்கோலாகிய ஆட்சிமுறை கல்லாதவரைத் தனக்கு அரணாகச் சேர்த்துக் கொள்ளும், அது தவிர நிலத்திற்கு சுமை வேறு இல்லை.",கொடுங்கோல் அரசு படிக்காதவர்களைத் தனக்கு பக்கபலமாக்கிக் கொள்ளும் அதைப்போல பூமிக்குப் பாரம் வேறு எதுவுமில்லை,,,
572,58,direction_earth,direction_earth:earth,,,1,கண்ணோட்டத் துள்ளது உலகியல் அஃதிலார் / உண்மை நிலக்குப் பொறை.,World lives by looks of lovely worth Who lack them are burdens of earth,"The prosperity of the world springs from the kindliness, the existence of those who have no (kindliness) is a burden to the earth","கண்ணோட்டத்தினால் உலகியல் நடைபெறுகின்றது, கண்ணோட்டம் இல்லாதவர் உயிரோடு இருத்தல் நிலத்திற்குச் சுமையே தவிர வேறு பயனில்லை.","அன்புடன் அரவணைத்து இரக்கம் காட்டும் கண்ணோட்டம் எனப்படும் உலகியலுக்கு, மாறாக இருப்பவர்கள் இந்தப் பூமிக்குச் சுமையாவார்கள்",,,
573,58,light_fire,light_fire:light,,vibration_sound:இசை,1,பண்என்னாம் பாடற்கு இயைபின்றேல் கண்என்னாம் / கண்ணோட்டம் இல்லாத கண்.,Of tuneless song what is the use? Without gracious looks what are eyes?,Of what avail is a song if it be inconsistent with harmony ? what is the use of eyes which possess no kindliness,"பாடலோடு பொருந்துதல் இல்லையானால் இசை என்ன பயனுடையதாகும், அதுபோல் கண்ணோட்டம் இல்லாவிட்டால் கண் என்ன பயனுடையதாகும்.","இரக்க உணர்வு, அன்பு எனும் கண்ணோட்டத்துடன் பொருந்தி வராத கண்ணும், பாடலுடன் பொருந்தி வராத இசையும் பயன் தராதவையாகும்",,,
574,58,light_fire,light_fire:light,,cosmos_origin:தோன்று,1,உளபோல் முகத்தெவன் செய்யும் அளவினால் / கண்ணோட்டம் இல்லாத கண்.,Except that they are on the face What for are eyes sans measured grace,"Beyond appearing to be in the face, what good do they do, those eyes in which is no well-regulated kindness ?",தக்க அளவிற்குக் கண்ணோட்டம் இல்லாத கண்கள் முகத்தில் உள்ளவை போல் தோன்றுதல் அல்லாமல் வேறு என்ன பயன் செய்யும்.,"அகத்தில் அன்பையும் இரக்கத்தையும் சுரக்கச் செய்யாத கண்கள் முகத்தில் உள்ளவைபோல் தோன்றுவதைத் தவிர, வேறு எந்தப்பயனும் இல்லாதவைகளாகும்",,,
576,58,direction_earth,direction_earth:earth,direction_earth:மண்*,,1,மண்ணோ டியைந்த மரத்தனையர் கண்ணோ / டியைந்துகண் ணோடா தவர்.,Like trees on inert earth they grow Who don't eye to eye kindness show,"They resemble the trees of the earth, who although they have eyes, never look kindly (on others)",கண்ணோட்டதிற்க்கு உரிய கண்ணோடுப் பொருந்தி இருந்தும் கண்ணோட்டம் இல்லாதவர் (கண் இருந்தும் காணாத ) மரத்தினைப் போன்றவர்.,ஒருவர்க்குக் கண் இருந்தும்கூட அந்தக் கண்ணுக்குரிய அன்பும் இரக்கமும் இல்லாவிட்டால் அவர் மரத்துக்கு ஒப்பானவரே ஆவார்,,,
577,58,light_fire,light_fire:light,,,1,கண்ணோட்டம் இல்லவர் கண்ணிலர் கண்ணுடையார் / கண்ணோட்டம் இன்மையும் இல்.,Ungracious men lack real eyes Men of real eyes show benign grace,Men without kind looks are men without eyes; those who (really) have eyes are also not devoid of kind looks,"கண்ணோட்டம் இல்லாத மக்கள் கண் இல்லாதவரே ஆவர், கண் உடைய மக்கள் கண்ணோட்டம் இல்லா திருத்தலும் இல்லை.",கருணை மனம் கொண்டவர்க்கு இருப்பதே கண்கள் எனப்படும்; கருணையற்றோர் கண்ணற்றோர் என்றே கருதப்படுவார்கள்,,,
578,58,direction_earth,direction_earth:earth,,direction_earth:உலகம்,1,கருமம் சிதையாமல் கண்ணோட வல்லார்க்கு / உரிமை உடைத்திவ் வுலகு.,Who gracious are but dutiful Have right for this earth beautiful,"The world is theirs (kings) who are able to show kindness, without injury to their affairs, (administration of justice)",தம் தம் கடமையாகிய தொழில் கெடாமல் கண்ணோட்டம் உடையவராக இருக்க வல்லவர்க்கு இவ்வுலகம் உரிமை உடையது.,"கடமை தவறாமையிலும், கருணை பொழிவதிலும் முதன்மையாக இருப்போருக்கு இந்த உலகமே உரிமையுடையதாகும்",,,
582,59,time_season,time_season:day,,,1,எல்லார்க்கும் எல்லாம் நிகழ்பவை எஞ்ஞான்றும் / வல்லறிதல் வேந்தன் தொழில்.,"All that happens, always, to all The king should know in full detail",'Tis duty of the king to learn with speed,எல்லாரிடத்திலும் நிகழ்கின்றவை எல்லாவற்றையும் எக்காலத்திலும் (ஒற்றரைக் கொண்டு) விரைந்து அறிதல் அரசனுக்குரிய தொழிலாகும்.,"நண்பர், பகைவர், நடுநிலையாளர் ஆகிய எல்லாரிடத்திலும் நிகழும் எல்லா நிகழ்வுகளையும், எல்லாக் காலங்களிலும் ஒற்றரைக் கொண்டு விரைவாக அறிந்து கொள்வது அரசுக்குரிய கடமையாகும்",,,
590,59,light_fire,light_fire:light,,light_fire:ஒளி,1,சிறப்பறிய ஒற்றின்கண் செய்யற்க செய்யின் / புறப்படுத்தான் ஆகும் மறை.,Give not the spy open reward It would divulge the secret heard!,"Let not a king publicly confer on a spy any marks of his favour; if he does, he will divulge his own secret","ஒற்றனிடத்தில் செய்யும் சிறப்பைப் பிறர் அறியுமாறு செய்யக்கூடாது, செய்தால் மறைபொருளைத்தானே வெளிப்படுத்தியவன் ஆவான்.","ஓர் ஒற்றரின் திறனை வியந்து பிறர் அறியச் சிறப்புச் செய்தால், ஒளிவு மறைவாக இருக்கவேண்டிய செய்தியை, வெளிப்படுத்தியதாகிவிடும்",,,
595,60,rain_water,"rain_water:water,flood",,rain_water:நீர்,1,வெள்ளத் தனைய மலர்நீட்டம் மாந்தர்தம் / உள்ளத் தனையது உயர்வு.,Water depth is lotus height Mental strength is men's merit,The stalks of water-flowers are proportionate to the depth of water; so is men's greatness proportionate to their minds,"நீர்ப்பூக்களின் தாளின் நீளம் அவை நின்ற நீரின் அளவினவாகும், மக்களின் ஊக்கத்தை அளவினதாகும் வாழ்க்கையின் உயர்வு.",தண்ணீரின் அளவுதான் அதில் மலர்ந்துள்ள தாமரைத் தண்டின் அளவும் இருக்கும் அதுபோல மனிதரின் வாழ்க்கையின் உயர்வு அவர் மனத்தில் கொண்டுள்ள ஊக்கத்தின் அளவே இருக்கும்,,,
601,61,light_fire,"light_fire:light,lamp",,"light_fire:ஒளி,விளக்கு",1,குடியென்னும் குன்றா விளக்கம் மடியென்னும் / மாசூர மாய்ந்து கெடும்.,Quenchless lamp of ancestry goes When foul idleness encloses,"By the darkness, of idleness, the indestructible lamp of family (rank) will be extinguished","ஒருவனுக்கு தன் குடியாகிய மங்காத விளக்கு, அவனுடைய சோம்பலாகிய மாசு படிய படிய ஒளி மங்கிக் கெட்டுவிடும்.","பிறந்த குடிப் பெருமை என்னதான் ஒளிமயமாக இருந்தாலும், சோம்பல் குடிகொண்டால் அது மங்கிப் போய் இருண்டு விடும்",,,
606,61,direction_earth,direction_earth:earth,,direction_earth:நிலம்,1,படியுடையார் பற்றமைந்தக் கண்ணும் மடியுடையார் / மாண்பயன் எய்தல் அரிது.,With all the wealth of lords of earth The slothful gain nothing of worth,"It is a rare thing for the idle, even when possessed of the riches of kings who ruled over the whole earth, to derive any great benefit from it","நாட்டை ஆளும் தலைவருடைய உறவுத் தானே வந்து சேர்ந்தாலும், சோம்பல் உடையவர் சிறந்த பயனை அடைய முடியாது.",தகுதியுடையவரின் அன்புக்குப் பாத்திரமானவராக இருப்பினும் சோம்பலுடையவர்கள் பெருமை எனும் பயனை அடைவதென்பது அரிதாகும்,,,
610,61,direction_earth,direction_earth:earth,,direction_earth:உலகம்,1,மடியிலா மன்னவன் எய்தும் அடியளந்தான் / தாஅய தெல்லாம் ஒருங்கு.,The slothless king shall gain en masse *All regions trod by Lord apace * Hindu mythology holds that Lord Vishnu measured with his feet the three worlds,The king who never gives way to idleness will obtain entire possession of (the whole earth) passed over by him who measured (the worlds) with His foot,அடியால் உலகத்தை அளந்த கடவுள் தாவியப் பரப்பு எல்லாவற்றையும் சோம்பல் இல்லாத அரசன் ஒரு சேர அடைவான்.,"சோம்பல் இல்லாதவர் அடையும் பயன், சோர்வில்லாத ஒரு மன்னன், அவன் சென்ற இடமனைத்தையும் தனது காலடி எல்லைக்குள் கொண்டு வந்ததைப் போன்றதாகும்",,,
612,62,light_fire,light_fire:தீ*,direction_earth:உலகு*,direction_earth:உலகம்,1,வினைக்கண் வினைகெடல் ஓம்பல் வினைக்குறை / தீர்ந்தாரின் தீர்ந்தன்று உலகு.,In doing work don't break and shirk The world will quit who quits his work,Take care not to give up exertion in the midst of a work; the world will abandon those who abandon their unfinished work,"தொழிலாகிய குறையைச் செய்யாமல் கைவிட்டவரை உலகம் கைவிடும், ஆகையால் தொழில் முயற்சி இல்லாதிருத்தலை ஒழிக்க வேண்டும்.",எந்தச் செயலில் ஈடுபட்டாலும் அதனை முழுமையாகச் செய்து முடிக்க வேண்டும் இல்லையேல் அரைக்கிணறு தாண்டிய கதையாகி விடும்,,,
622,63,rain_water,rain_water:flood,,,1,வெள்ளத் தனைய இடும்பை அறிவுடையான் / உள்ளத்தின் உள்ளக் கெடும்.,Deluging sorrows come to nought When wise men face them with firm thought,"A flood of troubles will be overcome by the (courageous) thought which the minds of the wise will entertain, even in sorrow","வெள்ளம் போல் அளவற்றதாய் வரும் துன்பமும், அறிவுடையவன் தன் உள்ளத்தினால் அத் துன்பத்தின் இயல்பை நினைத்த அளவில் கெடும்.",வெள்ளம்போல் துன்பம் வந்தாலும் அதனை வெல்லும் வழி யாது என்பதை அறிவுடையவர்கள் நினைத்த மாத்திரத்திலேயே அத்துன்பம் விலகி ஓடி விடும்,,,
635,64,time_season,time_season:season,,,1,அறனறிந்து ஆன்றமைந்த சொல்லான்எஞ் ஞான்றுந் / திறனறிந்தான் தேர்ச்சித் துணை.,"Have him for help who virtue knows Right wisdom speaks, ever apt in acts","He is the best helper (of the king) who understanding the duties, of the latter, is by his special learning, able to tender the fullest advice, and at all times conversant with the best method (of","அறத்தை அறிந்தவனாய், அறிவு நிறைந்து அமைந்த சொல்லை உடையவனாய், எக்காலத்திலும் செயல்செய்யும் திறன் அறிந்தவனாய் உள்ளவன் ஆராய்ந்து கூறும் துணையாவான்.","அறநெறி உணர்ந்தவராகவும், சொல்லாற்றல் கொண்டவராகவும், செயல்திறன் படைத்தவராகவும் இருப்பவரே ஆலோசனைகள் கூறக்கூடிய துணையாக விளங்க முடியும்",,,
636,64,vibration_sound,vibration_sound:sound,moon:மதி*,,1,மதிநுட்பம் நூலோடு உடையார்க்கு அதிநுட்பம் / யாவுள முன்நிற் பவை.,Which subtler brain can stand before The keen in brain with learned love?,What (contrivances) are there so acute as to resist those who possess natural acuteness in addition to learning ?,இயற்கையான நுட்ப அறிவை நூலறிவோடு ஒருங்கே உடையவர்க்கு மிக்க நுட்பமான சூழ்ச்சிகளாய் முன் நிற்பவை எவை உள்ளன.,நூலறிவுடன் இயற்கையான மதி நுட்பமும் உள்ளவர்களுக்கு முன்னால் எந்த சூழ்ச்சிதான் எதிர்த்து நிற்க முடியும்? முடியாது,,,
638,64,vibration_sound,vibration_sound:sound,,moon:மதி,1,அறிகொன்று அறியான் எனினும் உறுதி / உழையிருந்தான் கூறல் கடன்.,The man in place must tell the facts Though the ignorant king refutes,"Although the king be utterly ignorant, it is the duty of the minister to give (him) sound advice","அறிவுறுத்துவாரின் அறிவையையும் அழித்துத் தானும் அறியாதவனாக அரசன் இருந்தாலும், அமைச்சன் அவனுக்கு உறுதியானவற்றை எடுத்துக்கூறல் க‌டமையாகும்.","சொன்னதையும் கேட்காமல், சொந்த அறிவும் இல்லாமல் இருப்போர்க்கு, அருகிலுள்ள அமைச்சர்கள்தான் துணிவோடு நல்ல யோசனைகளைக் கூற வேண்டும்",,,
643,65,cosmos_origin,cosmos_origin:element,,,1,கேட்டார்ப் பிணிக்கும் தகையவாய்க் கேளாரும் / வேட்ப மொழிவதாம் சொல்.,A speech is speech that holds ears And attracts ev'n those that are averse,The (minister's) speech is that which seeks (to express) elements as bind his friends (to himself) and is so delivered as to make even his enemies desire (his friendship),"சொல்லும் போது கேட்டவரைத் தன் வயப்படுத்தும் பண்புகளுடன், கேட்காதவரும் கேட்க விரும்புமாறு கூறப்படுவது சொல்வன்மையாகும்.","கேட்போரைக் கவரும் தன்மையுடைதாகவும், கேட்காதவரும் தேடிவந்து விரும்பிக் கேட்கக் கூடியதாகவும் அமைவதே சொல்வன்மை எனப்படும்",,,
653,66,light_fire,light_fire:light,light_fire:ஒளி*,,1,ஒஓதல் வேண்டும் ஒளிமாழ்கும் செய்வினை / ஆஅதும் என்னு மவர்.,Those in the world desire for fame Should shun the deed that dims their name,"Those who say, ""we will become (better)"" should avoid the performance of acts that would destroy (their fame)",மேன்மேலும் உயர்வோம் என்று விரும்பி முயல்கின்றவர் தம்முடைய புகழ் கெடுவதற்குக் காரணமான செயலைச் செய்யாமல் விட வேண்டும்.,"மேன்மேலும் உயர்ந்திட வேண்டுமென விரும்புகின்றவர்கள், தம்முடைய செயல்களால் தமது புகழ் கெடாமல் கவனமாக இருந்திட வேண்டும்",,,
660,66,rain_water,rain_water:water,,light_fire:தீ ; direction_earth:மண்,1,சலத்தால் பொருள்செய்தே மார்த்தல் பசுமண் / கலத்துள்நீர் பெய்திரீஇ யற்று.,The wealth gathered in guilty ways Is water poured in wet clay vase,(For a minister) to protect (his king) with wealth obtained by foul means is like preserving a vessel of wet clay by filling it with water,"வஞ்சனையான வழியால் பொருளைச்சேர்த்துக் காப்பாற்றுதல், பச்சை மண்கலத்தில் நீரை விட்டு அதைக் காப்பாற்றி வைத்தாற் போன்றது.","தவறான வழிகளில் பொருளைச் சேர்த்து அதைக் காப்பாற்ற நினைப்பது, பச்சை மண்ணால் செய்யப்பட்ட பாத்திரத்தில் நீரை ஊற்றி, அதைப் பாதுகாக்க நினைப்பதைப் போன்றதுதான்",,,
668,67,vibration_sound,vibration_sound:wave,,,1,கலங்காது கண்ட வினைக்கண் துளங்காது / தூக்கங் கடிந்து செயல்.,Waver not; do wakefully The deed resolved purposefully,An act that has been firmly resolved on must be as firmly carried out without delay,மனம் தளராமல் ஆராய்ந்து துணிந்து ஏற்றத் தொழிலைச் சோர்வு கொள்ளாமல் காலந் தாழ்த்தாமல் செய்து முடிக்க வேண்டும்.,"மனக் குழப்பமின்றித் தெளிவாக முடிவு செய்யப்பட்ட ஒரு செயலைத் தளர்ச்சியும், தாமதமும் இடையே ஏற்படாமல் விரைந்து நிறைவேற்ற வேண்டும்",,,
671,68,light_fire,light_fire:தீ*,,time_season:காலம்,1,சூழ்ச்சி முடிவு துணிவெய்தல் அத்துணிவு / தாழ்ச்சியுள் தங்குதல் தீது.,When counsel takes a resolve strong Weak delay of action is wrong,Consultation ends in forming a resolution (to act); (but) delay in the execution of that resolve is an evil,"ஆராய்ந்து எண்ணுவதற்கு எல்லை துணிவு கொள்வதே ஆகும், அவ்வாறு கொண்ட துணிவு காலந் தாழ்த்து நிற்பது குற்றமாகும்.",ஒரு செயலில் ஈடுபட முடிவெடுக்கும்போது அச்செயலால் விளையும் சாதக பாதகங்கள் பற்றிய ஆராய்ச்சியும் முடிவடைந்திருக்க வேண்டும் முடிவெடுத்த பிறகு காலந்தாழ்த்துவது தீதாக முடியும்,,,
674,68,light_fire,"light_fire:தீ*,fire",,,1,வினைபகை என்றிரண்டின் எச்சம் நினையுங்கால் / தீயெச்சம் போலத் தெறும்.,Work or foe left unfinished Flare up like fire unextinguished,"When duly considered, the incomplete execution of an undertaking and hostility will grow and destroy one like the (unextinguished) remnant of a fire","செய்யத்தொடங்கியச் செயல், கொண்ட பகை என்று இவ்விரண்டின் குறை ஆராய்ந்து பார்த்தால், தீயின் குறைபோல் தெரியாமல் வளர்ந்து கெடுக்கும்.","எற்ற செயலையோ, எதிர்கொண்ட பகையையோ முற்றாக முடிக்காமல் விட்டுவிட்டால் அது நெருப்பை அரை குறையாக அணைத்தது போலக் கேடு விளைவிக்கும்",,,
690,69,cosmos_origin,cosmos_origin:இறை*,,,1,இறுதி பயப்பினும் எஞ்சாது இறைவற்கு / உறுதி பயப்பதாம் தூது.,Braving death the bold envoy Assures his king's safety and joy,He is the ambassador who fearlessly seeks his sovereign's good though it should cost him his life (to deliver his message),"தனக்கு அழிவே தருவதாக இருந்தாலும் அதற்காக அஞ்சி விட்டுவிடாமல், தன் அரசனுக்கு நன்மை உண்டாகுமாறு செய்கின்றவனே தூதன்.","தனக்கு அழிவே தருவதாக இருந்தாலும், அதை எண்ணிப் பயந்து விடாமல் உறுதியுடன் கடமையாற்றுகிறவனே தன்னுடைய தலைவனுக்கு நம்பிக்கையான தூதனாவான்",,,
691,70,light_fire,"light_fire:தீ*,fire",,,1,அகலாது அணுகாது தீக்காய்வார் போல்க / இகல்வேந்தர்ச் சேர்ந்தொழுகு வார்.,Move with hostile kings as with fire Not coming close nor going far,Thus let them act who dwell beneath of warlike kings the palace-roof,"அரசரைச் சார்ந்து வாழ்கின்றவர், அவரை மிக நீங்காமலும், மிக அணுகாமலும் நெருப்பில் குளிர் காய்கின்றவர் போல இருக்க வேண்டும்.","முடிமன்னருடன் பழகுவோர் நெருப்பில் குளிர் காய்வதுபோல அதிகமாக நெருங்கிவிடாமலும், அதிகமாக நீங்கிவிடாமலும் இருப்பார்கள்",,,
698,70,light_fire,light_fire:light,light_fire:ஒளி*,,1,இளையர் இனமுறையர் என்றிகழார் நின்ற / ஒளியோடு ஒழுகப் படும்.,As young and kinsman do not slight; Look with awe king's light and might,"Ministers should behave in accordance with the (Divine) light in the person of kings and not despise them saying, ""He is our junior (in age) and connected with our family!""","(அரசரை) எமக்கு இளையவர், எமக்கு இன்ன முறை உடையவர் என்று இகழாமல் அவருடைய நிலைக்கு ஏற்றவாறு அமைந்த புகழுடன் பொருந்த நடக்க வேண்டும்.","எமக்கு இளையவர்தான்; இன்ன முறையில் உறவுடையவர் தான் என்று ஆட்சிப் பொறுப்பில் இருப்போரை இகழ்ந்துரைக்காமல், அவர்கள் அடைந்துள்ள பெருமைக்கேற்பப் பண்புடன் நடந்து கொள்ள வேண்டும்",,,
701,71,rain_water|direction_earth,rain_water:sea ; direction_earth:earth,,,2,கூறாமை நோக்கக் குறிப்பறிவான் எஞ்ஞான்றும் / மாறாநீர் வையக் கணி.,"Who reads the mind by look, untold Adorns the changeless sea-girt world","The minister who by looking (at the king) understands his mind without being told (of it), will be a perpetual ornament to the world which is surrounded by a never-drying sea",ஓருவர் சொல்லாமலே அவறுடைய முகத்தை நோக்கி அவர் கருதிய குறிப்பை அறிகின்றவன் எப்போதும் உலகத்திற்க்கு ஓர் அணிகலன் ஆவான்.,ஒருவர் எதுவும் பேசாமலிருக்கும் போதே அவர் என்ன நினைக்கிறார் என்பதை முகக்குறிப்பால் உணருகிறவன் உலகத்திற்கே அணியாவான்,,,
714,72,light_fire,light_fire:light,sky_stars:வான்* ; light_fire:ஒளி*,,1,ஒளியார்முன் ஒள்ளிய ராதல் வெளியார்முன் / வான்சுதை வண்ணம் கொளல்.,Before the bright be brilliant light Before the muff be mortar white,"Ministers should be lights in the assembly of the enlightned, but assume the pure whiteness of mortar (ignorance) in that of fools","அறிவிற் சிறந்தவரின் முன் தானும் அறிவிற் சிறந்தவராக நடந்து கொள்ள வேண்டும், அறிவில்லாதவர் முன் தாமும் வெண் கண்ணம் போல் அறிவில்லாதவராய் இருக்க வேண்டும்.","அறிவாளிகளுக்கு முன்னால் அவர்களையொத்த பாலின் தூய்மையுடன் விளங்கும் அறிஞர்கள், அறிவில்லாதவர்கள் முன்னால் வெண்சுண்ணாம்பு போல் தம்மையும் அறிவற்றவர்களாய்க் காட்டிக் கொள்ள வேண்டும்",,,
718,72,rain_water,rain_water:water,rain_water:நீர்*,,1,உணர்வ துடையார்முன் சொல்லல் வளர்வதன் / பாத்தியுள் நீர்சொரிந் தற்று.,To address understanding ones Is to water beds of growing grains,Lecturing to those who have the ability to understand (for themselves) is like watering a bed of plants that are growing (of themselves),"தாமே உணர்கின்ற தன்மை உடையவரின் முன் கற்றவர் பேசுதல், தானே வளரும் பயிருள்ள பாத்தியில் நீரைச் சொரிந்தாற் போன்றது.","உணர்ந்து கொள்ளக்கூடிய ஆற்றல் உள்ளவர்களின் முன்னிலையில் பேசுதல், வளரக்கூடிய பயிர் உள்ள பாத்தியில் நீர் பாய்ச்சுவது போலப் பயன் விளைக்கும்",,,
733,74,cosmos_origin,cosmos_origin:இறை*,,,1,பொறையொருங்கு மேல்வருங்கால் தாங்கி இறைவற்கு / இறையொருங்கு நேர்வது நாடு.,It's land that bears pressing burdens And pays its tax which king demands,A kingdom is that which can bear any burden that may be pressed on it (from adjoining kingdoms) and (yet) pay the full tribute to its sovereign,"(மற்ற நாட்டு மக்கள் குடியேறுவதால்) சுமை ஒரு சேரத் தன் மேல் வரும் போது தாங்கி, அரசனுக்கு இறைபொருள் முழுதும் தர வல்லது நாடாகும்.","புதிய சுமைகள் ஒன்றுணிரண்டு வரும் போதும் அவற்றைத் தாங்கிக் கொண்டு, அரசுக்குரிய வரி வகைகளைச் செலுத்துமளவுக்கு வளம் படைத்ததே சிறந்த நாடாகும்",,,
737,74,rain_water|direction_earth,"rain_water:rain ; direction_earth:மலை*,mountain",,"rain_water:மழை,நீர்,கடல்,ஆறு",2,இருபுனலும் வாய்ந்த மலையும் வருபுனலும் / வல்லரணும் நாட்டிற்கு உறுப்பு.,"Waters up and down, hills and streams With strong forts as limbs country beams","The constituents of a kingdom are the two waters (from above and below), well situated hills and an undestructible fort","ஊற்றும் மழையும் மாகிய இருவகை நீர்வளமும், தக்கவாறு அமைந்த மலையும் அந்த மலையிலிருந்து ஆறாக வரும் நீர் வளமும் வலிய அரணும் நாட்டிற்கு உறுப்புகளாகும்.","ஆறு, கடல் எனும் இருபுனலும், வளர்ந்தோங்கி நீண்டமைந்த மலைத் தொடரும், வருபுனலாம் மழையும், வலிமைமிகு அரணும், ஒரு நாட்டின் சிறந்த உறுப்புகளாகும்",,,
742,75,rain_water|direction_earth,"rain_water:water ; direction_earth:மலை*,mountain",direction_earth:மண்*,rain_water:நீர் ; direction_earth:நிலம்,2,மணிநீரும் மண்ணும் மலையும் அணிநிழற் / காடும் உடைய தரண்.,"A crystal fount, a space a mount Thick woods form a fort paramount","A fort is that which has everlasting water, plains, mountains and cool shady forests","மணிபோல் தெளிந்த நீரும், வெட்ட வெளியான நிலமும், மலையும், அழகிய நிழல் உடைய காடும் ஆகிய இவை நான்கும் உள்ளதே அரண் ஆகும்.","ஆழமும் அகலமும் கொண்ட அகழ், பரந்த நிலம், உயர்ந்து நிற்கும் மலைத்தொடர், அடர்ந்திருக்கும் காடு ஆகியவற்றை உடையதே அரணாகும்",,,
749,75,time_season,time_season:day,,,1,முனைமுகத்து மாற்றலர் சாய வினைமுகத்து / வீறெய்தி மாண்ட தரண்.,A fort it is that fells the foes And gains by deeds a name glorious,A fort is that which derives excellence from the stratagems made (by its inmates) to defeat their enemies in the battlefield,போர் முனையில் பகைவர் அழியும் படியாக (உள்ளிருந்தவர்செய்யும்) போர்ச் செயல்வகையால் பெருமைப் பெற்றுச் சிறப்புடையதாய் விளங்குவது அரண் ஆகும்.,போர் முனையில் பகைவரை வீழ்த்துமளவுக்கு உள்nயிருந்து கொண்டே தாக்குதல் நடத்தும் வண்ணம் தனிச்சிறப்புப் பெற்றுத் திகழ்வதே அரண் ஆகும்,,,
753,76,light_fire,"light_fire:light,lamp",,light_fire:விளக்கு,1,பொருளென்னும் பொய்யா விளக்கம் இருளறுக்கும் / எண்ணிய தேயத்துச் சென்று.,Waneless wealth is light that goes To every land and gloom removes,The imperishable light of wealth goes into regions desired (by its owner) and destroys the darkness (of enmity therein),"பொருள் என்று சொல்லப்படுகின்ற நந்தா விளக்கு, நினைத்த இடத்திற்குச் சென்று உள்ள இடையூற்றைக் கெடுக்கும்",பொருள் என்னும் அணையா விளக்கு மட்டும் கையில் இருந்துவிட்டால் நினைத்த இடத்துக்குச் சென்று இருள் என்னும் துன்பத்தைத் துரத்தி விட முடிகிறது,,,
754,76,light_fire,light_fire:தீ*,,,1,அறன்ஈனும் இன்பமும் ஈனும் திறனறிந்து / தீதின்றி வந்த பொருள்.,The blameless wealth from fairest means Brings good virtue and also bliss,The wealth acquired with a knowledge of the proper means and without foul practices will yield virtue and happiness,"சேர்க்கும் திறம் அறிந்து தீமை ஒன்றும் இல்லாமல், சேர்க்கப் பட்டுவந்த பொருள் ஒருவனுக்கு அறத்தையும் கொடுக்கும் இன்பத்தையும் கொடுக்கும்.","தீய வழியை மேற்கொண்டு திரட்டப்படாத செல்வம்தான் ஒருவருக்கு அறநெறியை எடுத்துக்காட்டி, அவருக்கு இன்பத்தையும் தரும்",,,
763,77,rain_water,rain_water:sea,vibration_sound:ஒலி* ; cosmos_origin:உயிர்*,rain_water:கடல் ; light_fire:தீ,1,ஒலித்தக்கால் என்னாம் உவரி எலிப்பகை / நாகம் உயிர்ப்பக் கெடும்.,Sea-like ratfoes roar What if? They perish at a cobra's whiff,What if (a host of) hostile rats roar like the sea ? They will perish at the mere breath of the cobra,"எலியாகிய பகைக்கூடி கடல் போல் ஒலித்தாலும் என்ன தீங்கு ஏற்ப்படும், பாம்பு மூச்சு விட்ட அளவில் அவைக் கெட்டழியும்.","எலிகள் கூடி கடல்போல் முழங்கிப், பகையைக் கக்கினாலும், நாகத்தின் மூச்சொலிக்கு முன்னால் நிற்க முடியுமா? அதுபோலத்தான் வீரன் வெகுண்டு எழுந்தால் வீணர்கள் வீழந்துபடுவார்கள்",,,
